Date,Top,Jgl,Mid,Bot,Sup,Patch,Win - Lose,Opponent,E-Top,E-Jgl,E-Mid,E-Bot,E-Sup,side,Winrate since the start,"58,48%",Winrate Red: 057% | Winrate Blue: 062%,,,,,,,,Champion
03/12/2024,Jax,Skarner,Ahri,Smolder,Rakan,14.23,Win,MCK,Ambessa,Viego,Aurora,Corki,Maokai,Blue,,,,,,,,,,,
03/12/2024,Camille,Nocturne,Sylas,Varus,Rell,14.23,Win,MCK,Ambessa,JarvanIV,Ahri,Ashe,Nautilus,Red,,,,,,,,,,,
03/12/2024,Aurora,Skarner,Yone,Corki,Bard,14.23,Win,MCK,Galio,MonkeyKing,Syndra,Kalista,Renata,Blue,,,,,,,,,,,
03/12/2024,Renekton,Zyra,Yone,Ashe,Leona,14.23,Win,MCK,Aurora,Skarner,Ambessa,Ezreal,Rakan,Red,,,,,,,,,,,
03/12/2024,KSante,Poppy,Aurora,Caitlyn,Lux,14.23,Win,MCK,Gwen,Viego,Galio,Kalista,Renata,Blue,,,,,,,,,,,
04/12/2024,Renekton,Ivern,Akali,Ashe,Poppy,14.23,Lose,LUA,Gragas,Vi,Yone,Varus,Rell,Red,,,,,,,,,,,
04/12/2024,Aurora,Skarner,Akali,Smolder,Nautilus,14.23,Lose,LUA,Ornn,Lillia,Yone,Varus,Braum,Blue,,,,,,,,,,,
04/12/2024,Gragas,Vi,Ahri,Varus,Nautilus,14.23,Lose,LUA,Jax,Viego,Lissandra,Ashe,Rell,Red,,,,,,,,,,,
04/12/2024,Gnar,Maokai,Jayce,Kalista,Renata,14.23,Win,LUA,Sion,Poppy,Hwei,Jinx,Lulu,Blue,,,,,,,,,,,
04/12/2024,KSante,Sejuani,Sylas,Kalista,Rell,14.23,Win,LUA,Kennen,Vi,Ahri,Varus,Rakan,Red,,,,,,,,,,,
05/12/2024,Jax,Skarner,Ahri,Smolder,Rell,14.23,Win,JL,Gnar,MonkeyKing,Swain,Corki,Leona,Blue,,,,,,,,,,,
05/12/2024,Jax,Vi,Ahri,Smolder,Nautilus,14.23,Lose,JL,Gnar,XinZhao,Swain,Corki,Rakan,Red,,,,,,,,,,,
05/12/2024,Volibear,Skarner,Orianna,Xayah,Rakan,14.23,Win,JL,Ambessa,JarvanIV,Corki,Ziggs,Leona,Blue,,,,,,,,,,,
05/12/2024,Malphite,Sejuani,Yone,Kalista,Renata,14.23,Lose,JL,Gnar,Vi,Galio,Caitlyn,Neeko,Red,,,,,,,,,,,
05/12/2024,Ambessa,Sejuani,Smolder,Ziggs,Nautilus,14.23,Win,JL,Renekton,Amumu,Yone,Caitlyn,Maokai,Blue,,,,,,,,,,,
06/12/2024,Ambessa,Amumu,Yone,Jhin,Nautilus,14.23,Lose,RBT,Volibear,MonkeyKing,Sylas,Varus,Leona,Blue,,,,,,,,,,,
06/12/2024,Renekton,Sejuani,Akali,Ashe,Rell,14.23,Lose,RBT,Ambessa,Ivern,Sylas,Corki,Nautilus,Red,,,,,,,,,,,
06/12/2024,Volibear,Amumu,Yone,Kalista,Renata,14.23,Win,RBT,Ambessa,Sejuani,Azir,Varus,Neeko,Blue,,,,,,,,,,,
06/12/2024,Renekton,Zyra,Smolder,Varus,Nautilus,14.23,Win,RBT,Ambessa,Nidalee,Corki,Ashe,Rell,Red,,,,,,,,,,,
06/12/2024,Galio,Nocturne,Akali,Kalista,Nautilus,14.23,Win,RBT,Rumble,MonkeyKing,Orianna,Varus,Rell,Blue,,,,,,,,,,,
10/12/2024,Gnar,Nocturne,Orianna,Varus,Nautilus,14.23,Win,MCK,Renekton,Vi,Ahri,Ashe,Leona,Red,,,,,,,,,,,
10/12/2024,Volibear,Nocturne,Aurora,Varus,Renata,14.23,Win,MCK,Ambessa,Vi,Ahri,Ashe,Blitzcrank,Blue,,,,,,,,,,,
10/12/2024,KSante,Viego,Galio,Kalista,Neeko,14.23,Lose,MCK,Poppy,Vi,Orianna,Draven,Renata,Red,,,,,,,,,,,
10/12/2024,Gragas,MonkeyKing,Ahri,Varus,TahmKench,14.23,Lose,MCK,Galio,Vi,Swain,Kalista,Nautilus,Blue,,,,,,,,,,,
10/12/2024,Renekton,Sejuani,Swain,Varus,Braum,14.23,Win,MCK,Ornn,Graves,Akali,Kalista,Leona,Red,,,,,,,,,,,
11/12/2024,Renekton,Ivern,Swain,Varus,Braum,14.24,Lose,VER,Poppy,ReKSai,Ahri,Corki,Leona,Blue,,,,,,,,,,,
11/12/2024,Ambessa,Vi,Ryze,Ashe,Rell,14.24,Win,VER,KSante,Maokai,Sylas,Xayah,Rakan,Red,,,,,,,,,,,
11/12/2024,Rumble,Nocturne,Viktor,Kalista,Renata,14.24,Lose,VER,KSante,Maokai,Orianna,Varus,Poppy,Blue,,,,,,,,,,,
11/12/2024,Ornn,Vi,Ahri,Caitlyn,Braum,14.24,Win,VER,Aurora,XinZhao,Ezreal,Ziggs,Leona,Red,,,,,,,,,,,
11/12/2024,Renekton,MonkeyKing,Aurora,Varus,Alistar,14.24,Lose,VER,KSante,JarvanIV,Ahri,Brand,Rell,Blue,,,,,,,,,,,
12/12/2024,KSante,Karthus,Yasuo,Varus,Rell,15.1,Win,AKA,Rumble,Graves,Hwei,Ashe,Maokai,Red,,,,,,,,,,,
12/12/2024,Ornn,Ivern,Jayce,Varus,Leona,15.1,Win,AKA,KSante,XinZhao,Syndra,Jinx,Rell,Blue,,,,,,,,,,,
12/12/2024,Sion,Vi,Ahri,Jinx,Pyke,15.1,Win,AKA,Jax,Viego,Viktor,Varus,Ashe,Red,,,,,,,,,,,
12/12/2024,Poppy,Sejuani,Azir,Varus,Ashe,15.1,Win,AKA,Gragas,JarvanIV,Yasuo,Ziggs,Rell,Blue,,,,,,,,,,,
12/12/2024,Renekton,Vi,Viktor,Kalista,Neeko,15.1,Win,AKA,Gnar,MonkeyKing,Corki,Ziggs,Poppy,Red,,,,,,,,,,,
17/12/2024,Malphite,Ivern,Yone,Ashe,Rell,15.1,Lose,LUA,Gnar,XinZhao,Viktor,Varus,Alistar,Red,,,,,,,,,,,
17/12/2024,KSante,Amumu,Viktor,Varus,Rakan,15.1,Lose,LUA,Rumble,Maokai,Yone,Ashe,Nautilus,Blue,,,,,,,,,,,
17/12/2024,KSante,Sejuani,Viktor,Varus,TahmKench,15.1,Lose,LUA,Rumble,Vi,Ahri,Ezreal,Rakan,Red,,,,,,,,,,,
17/12/2024,Galio,MonkeyKing,Viktor,Corki,Rell,15.1,Lose,LUA,Gragas,JarvanIV,Aurora,Ezreal,Maokai,Blue,,,,,,,,,,,
17/12/2024,Galio,Maokai,Jayce,Varus,Leona,15.1,Lose,LUA,Rumble,Viego,Sylas,Ashe,Rell,Red,,,,,,,,,,,
18/12/2024,Renekton,Vi,Hwei,Corki,Nautilus,15.1,Lose,UCAM,Aurora,Ambessa,Viktor,Xayah,Rell,Red,,,,,,,,,,,
18/12/2024,KSante,Viego,Ahri,Varus,Leona,15.1,Win,UCAM,Maokai,LeeSin,Sylas,Corki,Alistar,Blue,,,,,,,,,,,
18/12/2024,Volibear,Viego,Ahri,Varus,Rell,15.1,Win,UCAM,Ambessa,Sejuani,Yone,Viktor,Nautilus,Red,,,,,,,,,,,
18/12/2024,Renekton,MonkeyKing,Viktor,Ashe,TahmKench,15.1,Win,UCAM,Kennen,Nocturne,Akali,Kalista,Maokai,Blue,,,,,,,,,,,
18/12/2024,Maokai,Maokai,Jayce,Varus,Blitzcrank,15.1,Lose,UCAM,Sion,MonkeyKing,Hwei,Kalista,Renata,Red,,,,,,,,,,,
19/12/2024,Rumble,JarvanIV,Orianna,Corki,Rakan,15.1,Lose,BAR,Galio,MonkeyKing,Viktor,Varus,Thresh,Blue,,,,,,,,,,,
19/12/2024,Rumble,Vi,Hwei,Smolder,Nautilus,15.1,Win,BAR,KSante,Poppy,Azir,Corki,Blitzcrank,Red,,,,,,,,,,,
19/12/2024,Aurora,Ivern,Yone,Smolder,Leona,15.1,Lose,BAR,Galio,Viego,Azir,Corki,Rell,Blue,,,,,,,,,,,
19/12/2024,Rumble,Vi,Sylas,Corki,Poppy,15.1,Win,BAR,Ornn,Amumu,Yone,Varus,Rell,Red,,,,,,,,,,,
19/12/2024,Volibear,XinZhao,Akali,Varus,Braum,15.1,Lose,BAR,Ambessa,Fiddlestick,Yone,Corki,Nautilus,Blue,,,,,,,,,,,
20/12/2024,Ambessa,Vi,Ahri,Corki,Blitzcrank,15.1,Win,ES,KSante,Nunu,Viktor,Kalista,Renata,Red,,,,,,,,,,,
20/12/2024,Rumble,Ivern,Yone,Varus,Rell,15.1,Lose,ES,Ornn,JarvanIV,Jayce,Viktor,Maokai,Blue,,,,,,,,,,,
20/12/2024,Ornn,Viego,Viktor,Ashe,Leona,15.1,Win,ES,KSante,Nunu,Hwei,Corki,Rell,Red,,,,,,,,,,,
20/12/2024,KSante,Skarner,Azir,Varus,Rell,15.1,Win,ES,Ornn,Ivern,Tristana,Ashe,Nautilus,Blue,,,,,,,,,,,
20/12/2024,KSante,Amumu,Ahri,Jinx,Rell,15.1,Lose,ES,Warwick,Maokai,Corki,Ziggs,Nautilus,Red,,,,,,,,,,,
03/01/2025,KSante,Volibear,Viktor,Corki,Rell,15.1,Win,AFW,Ambessa,Sejuani,Orianna,Caitlyn,Rakan,Red,,,,,,,,,,,
03/01/2025,KSante,MonkeyKing,Orianna,Smolder,TahmKench,15.1,Lose,AFW,Gragas,Vi,Akali,Corki,Leona,Red,,,,,,,,,,,
03/01/2025,Ambessa,XinZhao,Viktor,Varus,Thresh,15.1,Win,AFW,Maokai,JarvanIV,Irelia,Kalista,Blitzcrank,Blue,,,,,,,,,,,
03/01/2025,Ambessa,XinZhao,Viktor,Varus,Thresh,15.1,Win,AFW,Maokai,JarvanIV,Irelia,Kalista,Blitzcrank,Blue,,,,,,,,,,,
03/01/2025,Ambessa,Ivern,Akali,Varus,Rakan,15.1,Win,AFW,Volibear,Viego,Viktor,Jhin,Maokai,Blue,,,,,,,,,,,
04/01/2025,KSante,Viego,Akali,Jinx,Rell,15.1,Lose,TP,Maokai,XinZhao,Azir,Caitlyn,Alistar,Red,,,,,,,,,,,
04/01/2025,Gragas,Viego,Ahri,Varus,Poppy,15.1,Win,TP,Ornn,MonkeyKing,Sylas,Caitlyn,Rell,Blue,,,,,,,,,,,
04/01/2025,Ornn,Vi,Taliyah,Jinx,Thresh,15.1,Win,TP,Maokai,Nocturne,Viktor,Kalista,Renata,Red,,,,,,,,,,,
04/01/2025,KSante,XinZhao,Aurora,Smolder,Leona,15.1,Win,TP,Ambessa,MonkeyKing,Corki,Swain,Nautilus,Blue,,,,,,,,,,,
04/01/2025,KSante,Vi,Sylas,Ashe,Alistar,15.1,Lose,TP,Gragas,Viego,Ahri,Corki,Leona,Red,,,,,,,,,,,
05/01/2025,KSante,Viego,Ahri,Varus,Rell,15.1,Lose,SLY,Ambessa,Maokai,Orianna,Ezreal,Poppy,Blue,,,,,,,,,,,
05/01/2025,Ambessa,Vi,Viktor,Smolder,Rell,15.1,Lose,SLY,Jax,Ivern,Hwei,Corki,Leona,Red,,,,,,,,,,,
05/01/2025,KSante,Nocturne,Orianna,Corki,Leona,15.1,Lose,SLY,Ambessa,Viego,Viktor,Caitlyn,Neeko,Blue,,,,,,,,,,,
05/01/2025,Sion,Ivern,Taliyah,Varus,Nautilus,15.1,Lose,SLY,Rumble,Vi,Ahri,Ashe,Rakan,Red,,,,,,,,,,,
05/01/2025,Gnar,Vi,Ahri,Ashe,Thresh,15.1,Win,SLY,KSante,Poppy,Viktor,Kalista,Renata,Red,,,,,,,,,,,
06/01/2025,Maokai,MonkeyKing,Orianna,Corki,Rell,15.1,Win,EIQ,Renekton,Vi,Viktor,Xayah,Alistar,Red,,,,,,,,,,,
06/01/2025,KSante,Ivern,Azir,Corki,Leona,15.1,Win,EIQ,Ambessa,JarvanIV,Viktor,Xayah,Nautilus,Blue,,,,,,,,,,,
06/01/2025,Maokai,Poppy,Orianna,Caitlyn,Blitzcrank,15.1,Win,EIQ,KSante,Vi,Azir,Corki,Thresh,Red,,,,,,,,,,,
06/01/2025,Ornn,Viego,Ahri,Zeri,Leona,15.1,Win,EIQ,Jax,Volibear,Viktor,Varus,Renata,Blue,,,,,,,,,,,
06/01/2025,,,,,,,Enemy cancel,,,,,,,,,,,,,,,,,,
10/01/2025,Gnar,Ivern,Akali,Corki,Nautilus,15.1,Lose,ZER,KSante,MonkeyKing,Viktor,Zeri,Rakan,Red,,,,,,,,,,,
10/01/2025,Ambessa,Vi,Orianna,Ashe,Rakan,15.1,Win,ZER,Aurora,MonkeyKing,Sylas,Zeri,Leona,Red,,,,,,,,,,,
10/01/2025,Ambessa,Nocturne,Aurora,Varus,Nautilus,15.1,Win,ZER,Jayce,LeeSin,Akali,Jhin,Maokai,Red,,,,,,,,,,,
10/01/2025,KSante,Ivern,Hwei,Corki,Leona,15.1,Win,ZER,Olaf,MonkeyKing,Syndra,Varus,Braum,Blue,,,,,,,,,,,
10/01/2025,,,,,,,Enemy cancel,,,,,,,,,,,,,,,,,,
14/01/2025,KSante,Ivern,Corki,Varus,Leona,15.1b,Win,USE,Jax,Sejuani,Hwei,Kalista,Renata,Blue,,,,,,,,,,,
14/01/2025,Maokai,Karthus,Yone,Ashe,Thresh,15.1b,Lose,USE,Ornn,JarvanIV,Viktor,Ezreal,Blitzcrank,Red,,,,,,,,,,,
14/01/2025,Ambessa,Viego,Ahri,Ziggs,Nautilus,15.1b,Lose,USE,Gwen,MonkeyKing,Galio,Lucian,Nami,Blue,,,,,,,,,,,
14/01/2025,Renekton,Vi,Syndra,Ashe,Braum,15.1b,Win,USE,Ambessa,Viego,Aurora,Jhin,Leona,Red,,,,,,,,,,,
14/01/2025,Rumble,Skarner,Hwei,Ashe,Rell,15.1b,Win,USE,Aurora,JarvanIV,Ambessa,Jinx,Alistar,Blue,,,,,,,,,,,
15/01/2025,Maokai,XinZhao,Orianna,Ashe,Braum,15.1b,Lose,BW,Rumble,Nocturne,Syndra,Varus,Rell,Red,,,,,,,,,,,
15/01/2025,Rumble,JarvanIV,Syndra,Varus,Rell,15.1b,Win,BW,KSante,Zyra,Irelia,Corki,Alistar,Blue,,,,,,,,,,,
15/01/2025,Galio,Ivern,Sylas,Corki,Leona,15.1b,Lose,BW,Rumble,Maokai,Yone,Varus,Renata,Red,,,,,,,,,,,
15/01/2025,Ambessa,MonkeyKing,Viktor,Varus,Renata,15.1b,Lose,BW,Gnar,LeeSin,Akali,Ashe,Braum,Blue,,,,,,,,,,,
15/01/2025,,,,,,15.1b,Enemy cancel,BW,,,,,,,,,,,,,,,,,
16/01/2025,Jax,Nocturne,Aurora,Zeri,Alistar,15.1b,Win,TP,Poppy,XinZhao,Orianna,Corki,Rell,Blue,,,,,,,,,,,
16/01/2025,Rumble,Vi,Orianna,Ashe,Rakan,15.1b,Lose,TP,Jayce,Nocturne,Akali,Varus,Rell,Red,,,,,,,,,,,
16/01/2025,Jax,Skarner,Syndra,Ashe,Rakan,15.1b,Win,TP,Jayce,Viego,Viktor,Varus,Leona,Blue,,,,,,,,,,,
16/01/2025,Rumble,Zyra,Yone,Caitlyn,Rell,15.1b,Win,TP,Ambessa,Sejuani,Viktor,Corki,Alistar,Red,,,,,,,,,,,
16/01/2025,Rumble,Ivern,Yone,Varus,Alistar,15.1b,Win,TP,Jayce,Nocturne,Sylas,Corki,Rell,Blue,,,,,,,,,,,
17/01/2025,Rumble,JarvanIV,Aurora,Ashe,Leona,15.1b,Win,SGE,Jayce,Nocturne,Orianna,Varus,Alistar,,,,,,,,,,,,
17/01/2025,Gnar,Vi,Orianna,Caitlyn,Braum,15.1b,Win,SGE,KSante,Viego,Viktor,Ezreal,Nautilus,,,,,,,,,,,,
17/01/2025,Renekton,Viego,Ahri,Varus,Leona,15.1b,Win,SGE,Ambessa,Vi,Aurora,Corki,Braum,,,,,,,,,,,,
17/01/2025,,,,,,15.1b,Enemy cancel,SGE,,,,,,,,,,,,,,,,,
17/01/2025,,,,,,15.1b,,SGE,,,,,,,,,,,,,,,,,
20/01/2025,Jayce,Maokai,Hwei,Ezreal,Rakan,15.1b,Win,RBT,KSante,MonkeyKing,Azir,Ashe,Braum,Red,,,,,,,,,,,
20/01/2025,Jayce,XinZhao,Viktor,Ezreal,Leona,15.1b,Win,RBT,KSante,JarvanIV,Orianna,MissFortune,Rell,Blue,,,,,,,,,,,
20/01/2025,Jax,Zyra,Jayce,Ezreal,Alistar,15.1b,Win,RBT,Corki,Maokai,Irelia,Varus,Leona,Red,,,,,,,,,,,
20/01/2025,Jayce,Ivern,Ryze,Ezreal,Leona,15.1b,Lose,RBT,Ambessa,MonkeyKing,Aurora,Varus,Braum,Blue,,,,,,,,,,,
20/01/2025,Rumble,Volibear,Azir,Varus,Alistar,15.1b,Win,RBT,Galio,Viego,Sylas,Ezreal,Rell,Blue,,,,,,,,,,,
21/01/2025,Gnar,Ivern,Akali,Ashe,Leona,15.1b,Lose,LR,,JarvanIV,Orianna,Corki,Alistar,Red,,,,,,,,,,,
21/01/2025,KSante,Nocturne,Aurora,Varus,Thresh,15.1b,Lose,LR,Jax,Vi,Azir,Ezreal,Braum,Blue,,,,,,,,,,,
21/01/2025,Rumble,Volibear,Yone,Ziggs,Rell,15.1b,Lose,LR,Sion,Viego,Syndra,Kalista,Renata,Red,,,,,,,,,,,
21/01/2025,Rumble,Volibear,Viktor,Varus,Rell,15.1b,Lose,LR,Ambessa,MonkeyKing,Azir,Kalista,Renata,Blue,,,,,,,,,,,
21/01/2025,Aurora,Nocturne,Swain,Varus,Rell,15.1b,Lose,LR,Sion,Vi,Galio,Ezreal,Rakan,Red,,,,,,,,,,,
23/01/2025,Jayce,Maokai,Viktor,Ezreal,Alistar,15.1b,Win,KHK,Jax,Nocturne,Orianna,Varus,Rell,Red,,,,,,,,,,,
23/01/2025,Galio,Volibear,Azir,Ashe,Thresh,15.1b,Lose,KHK,Rumble,MonkeyKing,Ahri,Zeri,Braum,Blue,,,,,,,,,,,
23/01/2025,Ambessa,Ivern,Hwei,Jhin,Leona,15.1b,Lose,KHK,KSante,Zyra,Yone,MissFortune,Nautilus,Red,,,,,,,,,,,
23/01/2025,Jayce,Maokai,Viktor,Zeri,Rakan,15.1b,Lose,KHK,Rumble,Sejuani,Yone,Ezreal,Poppy,Blue,,,,,,,,,,,
23/01/2025,Jayce,Maokai,Hwei,Ezreal,Rell,15.1b,Lose,KHK,KSante,MonkeyKing,Azir,Varus,Renata,Red,,,,,,,,,,,
24/01/2025,Jayce,Nocturne,Viktor,Varus,Rell,15.1b,Win,ROSS,Jax,Sejuani,Orianna,Ezreal,Leona,Blue,,,,,,,,,,,
24/01/2025,Sion,MonkeyKing,Azir,Ashe,Braum,15.1b,Win,ROSS,KSante,Vi,Aurora,MissFortune,Karma,Red,,,,,,,,,,,
24/01/2025,Rumble,Volibear,Syndra,Xayah,Rakan,15.1b,Win,ROSS,Galio,ReKSai,Ahri,Jinx,Nautilus,Blue,,,,,,,,,,,
24/01/2025,Renekton,Maokai,Jayce,Ezreal,Rell,15.1b,Win,ROSS,Ambessa,Viego,Aurora,Varus,Nautilus,Blue,,,,,,,,,,,
24/01/2025,,,,,,15.1b,Enemy cancel,ROSS,,,,,,,,,,,,,,,,,
