Date,Top,Jgl,Mid,Bot,Sup,Patch,Win - Lose,Opponent,E-Top,E-Jgl,E-Mid,E-Bot,E-Sup,side,Winrate since the start,"58,48%",Winrate Red: 057% | Winrate Blue: 062%,,,,,,,,Champion
27/01/2025,Renekton,Maokai,Jayce,Kaisa,Rell,15.2,Win,SGE,Ambessa,Nocturne,Taliyah,Varus,Alistar,Red,,,,,,,,,,,
27/01/2025,KSante,Zyra,Corki,Kaisa,Nautilus,15.2,Win,SGE,Ambessa,MonkeyKing,Yone,Seraphine,Rell,Blue,,,,,,,,,,,
27/01/2025,Renekton,Maokai,Smolder,Xayah,Rell,15.2,Win,SGE,Ambessa,Vi,Corki,Kaisa,Alistar,Red,,,,,,,,,,,
27/01/2025,Jax,Sejuani,Azir,Kalista,Renata,15.2,Win,SGE,KSante,XinZhao,Hwei,Corki,Neeko,Blue,,,,,,,,,,,
27/01/2025,Ambessa,Ivern,Hwei,Corki,Leona,15.2,Win,SGE,Jayce,XinZhao,Azir,Jhin,Alistar,Blue,,,,,,,,,,,
28/01/2025,Jayce,JarvanIV,Hwei,Corki,Leona,15.2,Win,MKF,Rumble,Zyra,Ezreal,MissFortune,Rell,Blue,,,,,,,,,,,
28/01/2025,Jayce,Zyra,Yone,Smolder,Rell,15.2,Lose,MKF,Gragas,Nocturne,Orianna,Corki,Rakan,Red,,,,,,,,,,,
28/01/2025,,,,,,15.2,Enemy cancel,MKF,,,,,,,,,,,,,,,,,
28/01/2025,Jayce,Zyra,Corki,Kaisa,Rell,15.2,Lose,GXP,KSante,Nidalee,Syndra,Ezreal,Leona,Blue,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2025,KSante,Zyra,Corki,Kaisa,Nautilus,15.2,Win,Z10,Ambessa,Viego,Aurora,Ashe,Braum,Blue,,,,,,,,,,,
30/01/2025,Jax,Maokai,Corki,Ashe,Rell,15.2,Win,Z10,Renekton,Sejuani,Smolder,Varus,Renata,Red,,,,,,,,,,,
30/01/2025,KSante,Zyra,Yone,Kaisa,Rakan,15.2,Lose,Z10,Gwen,Skarner,Viktor,Ezreal,Senna,Blue,,,,,,,,,,,
30/01/2025,,,,,,15.2,We cancel,Z10,,,,,,,,,,,,,,,,,
30/01/2025,,,,,,15.2,We cancel,Z10,,,,,,,,,,,,,,,,,
31/01/2025,KSante,Zyra,Yone,Kaisa,Rell,15.2,Win,PAR,Ambessa,Vi,Corki,Brand,Nautilus,Blue,,,,,,,,,,,
31/01/2025,Gnar,Ivern,Swain,Ezreal,Leona,15.2,Win,PAR,Rumble,XinZhao,Akali,Ezreal,Rakan,Red,,,,,,,,,,,
31/01/2025,Renekton,Maokai,Syndra,Caitlyn,Alistar,15.2,Win,PAR,Ornn,Lillia,Zeri,MissFortune,Bard,Blue,,,,,,,,,,,
31/01/2025,Sion,Zyra,Corki,Kaisa,Alistar,15.2,Win,PAR,Gragas,Lillia,Jayce,Ezreal,Rell,Red,,,,,,,,,,,
31/01/2025,,,,,,15.2,Enemy cancel,PAR,,,,,,Blue,,,,,,,,,,,
03/02/2025,Ambessa,Vi,Orianna,Kaisa,Leona,15.2,Win,Nord,Poppy,Brand,Jayce,Ezreal,Alistar,,,,,,,,,,,,
03/02/2025,Galio,Zyra,Corki,Kaisa,Leona,15.2,Lose,Nord,Rumble,Sejuani,Jayce,Varus,Renata,,,,,,,,,,,,
03/02/2025,Malphite,Amumu,Corki,Jhin,Pyke,15.2,Win,Nord,Gnar,Maokai,Viktor,Caitlyn,Pantheon,Add Pantheon,,,,,,,,,,,
03/02/2025,KSante,Nocturne,Orianna,Ezreal,Rakan,15.2,Win,Nord,Poppy,Zyra,Mel,Smolder,Leona,Add mel,,,,,,,,,,,
03/02/2025,Rumble,JarvanIV,Azir,MissFortune,Rell,15.2,Win,Nord,Ambessa,Sejuani,Aurora,Kaisa,Braum,,,,,,,,,,,,
04/02/2025,Renekton,Zyra,Jayce,Corki,Poppy,15.2,Win,ULF,Ambessa,Vi,Taliyah,MissFortune,Rell,,,,,,,,,,,,
04/02/2025,Jayce,Maokai,Hwei,Smolder,Rell,15.2,Win,ULF,KSante,XinZhao,Azir,Corki,Rakan,,,,,,,,,,,,
04/02/2025,KSante,XinZhao,Azir,Varus,Rakan,15.2,Lose,ULF,Gnar,Sejuani,Taliyah,Ezreal,Rell,,,,,,,,,,,,
04/02/2025,Jax,Maokai,Yone,Ashe,Braum,15.2,Win,ULF,Rumble,XinZhao,Azir,Varus,Leona,,,,,,,,,,,,
04/02/2025,Ambessa,Vi,Ahri,Kaisa,Rell,15.2,Win,ULF,KSante,MonkeyKing,Galio,Xayah,Renata,,,,,,,,,,,,
05/02/2025,Ornn,Maokai,Smolder,Kaisa,Nautilus,15.2,Win,MKF,Rumble,Vi,Yone,Corki,Alistar,,,,,,,,,,,,
05/02/2025,KSante,XinZhao,Hwei,Ezreal,Karma,15.2,Lose,MKF,Poppy,MonkeyKing,Azir,Twitch,Rakan,,,,,,,,,,,,
05/02/2025,Gragas,JarvanIV,Ahri,MissFortune,Rell,15.2,Win,MKF,Jax,Sejuani,Galio,Jinx,Leona,,,,,,,,,,,,
05/02/2025,Chogath,Zyra,Jayce,Ashe,Leona,15.2,Lose,MKF,KSante,Nocturne,Hwei,Varus,Nautilus,,,,,,,,,,,,
05/02/2025,Rumble,Maokai,Corki,Kaisa,Alistar,15.2,Lose,MKF,Sion,Viego,Azir,Varus,Rell,,,,,,,,,,,,
07/02/2025,Ambessa,Maokai,Jayce,Corki,Leona,15.2,Win,EWI,Ornn,Nocturne,Viktor,Varus,Rell,,,,,,,,,,,,
07/02/2025,Ambessa,Zyra,Jayce,Ashe,Braum,15.2,Lose,EWI,Chogath,Belveth,Hwei,Kalista,Nautilus,,,,,,,,,,,,
07/02/2025,Jayce,Maokai,Orianna,Ashe,Rell,15.2,Win,EWI,Ornn,Belveth,Hwei,Kalista,Poppy,,,,,,,,,,,,
07/02/2025,Ambessa,Nocturne,Orianna,Corki,Nautilus,15.2,Lose,EWI,Chogath,Vi,Viktor,Ezreal,Leona,,,,,,,,,,,,
07/02/2025,,,,,,15.2,,EWI,,,,,,,,,,,,,,,,,
09/02/2025,KSante,Zyra,Jayce,MissFortune,Rell,15.2,Lose,GL,Ambessa,Sion,Azir,Ezreal,Leona,,,,,,,,,,,,
09/02/2025,Renekton,Sejuani,Ahri,Corki,Leona,15.2,Lose,GL,Ambessa,Vi,Taliyah,Vayne,Poppy,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2025,Sion,Zyra,Jayce,Corki,Poppy,15.3,Win,BW,KSante,XinZhao,Mel,Ezreal,Rell,Red,,,,,,,,,,,
10/02/2025,Renekton,XinZhao,Mel,Ashe,Braum,15.3,Win,BW,Ambessa,Sejuani,Aurora,Kaisa,Leona,Blue,,,,,,,,,,,
10/02/2025,Rumble,Nocturne,Mel,Corki,Rell,15.3,Lose,BW,Jayce,JarvanIV,Orianna,Varus,Leona,Red,,,,,,,,,,,
10/02/2025,KSante,Maokai,Corki,Xayah,Rakan,15.3,Lose,BW,Jayce,Volibear,Azir,Kaisa,Leona,Blue,,,,,,,,,,,
10/02/2025,Camille,Ivern,Hwei,Smolder,Leona,15.3,Win,BW,KSante,XinZhao,Orianna,Corki,Rell,Red,,,,,,,,,,,
11/02/2025,KSante,Maokai,Smolder,Kaisa,Alistar,15.3,Lose,TOG,Rumble,Vi,Yone,Zeri,Rell,Red,,,,,,,,,,,
11/02/2025,Ambessa,Sejuani,Mel,Ezreal,Leona,15.3,Lose,TOG,Jayce,Pantheon,Orianna,Varus,Nautilus,Blue,,,,,,,,,,,
11/02/2025,Sion,Viego,Ahri,MissFortune,Rakan,15.3,Win,TOG,Renekton,Nidalee,Azir,Jhin,Galio,Red,,,,,,,,,,,
11/02/2025,Ambessa,Amumu,Corki,Ezreal,Leona,15.3,Lose,TOG,Jayce,Nidalee,Yone,Varus,Nautilus,Blue,,,,,,,,,,,
11/02/2025,Camille,Sejuani,Akali,Ezreal,Rakan,15.3,Win,TOG,Maokai,Pantheon,Orianna,MissFortune,Rell,Red,,,,,,,,,,,
12/02/2025,Jax,Maokai,Corki,Ezreal,Leona,15.3,Win,BAR,Jayce,Zyra,KSante,MissFortune,Rell,Red,,,,,,,,,,,
12/02/2025,Rumble,JarvanIV,Mel,Aphelios,Thresh,15.3,Win,BAR,Ambessa,Sejuani,Orianna,Jinx,TahmKench,Blue,,,,,,,,,,,
12/02/2025,Camille,Viego,Viktor,Ziggs,Rakan,15.3,Win,BAR,Ornn,Vi,Taliyah,Xayah,Alistar,Red,,,,,,,,,,,
12/02/2025,Ornn,Maokai,Corki,Ezreal,Nautilus,15.3,Win,BAR,Chogath,Zyra,Jayce,Varus,Rell,Blue,,,,,,,,,,,
12/02/2025,Jax,Sejuani,Vladimir,Zeri,Braum,15.3,Win,BAR,KSante,Vi,Ahri,Jhin,Leona,Red,,,,,,,,,,,
14/02/2025,KSante,Maokai,Yone,Corki,Leona,15.3,Win,GW,Jayce,Vi,Orianna,Kaisa,Nautilus,Red,,,,,,,,,,,
14/02/2025,Jayce,JarvanIV,Mel,Kaisa,Nautilus,15.3,Lose,GW,Ambessa,Zyra,Yone,Ezreal,Rell,Blue,,,,,,,,,,,
14/02/2025,Ambessa,Vi,Orianna,Zeri,Rell,15.3,Lose,GW,Jayce,Poppy,Taliyah,Xayah,Renata,Red,,,,,,,,,,,
14/02/2025,Jayce,JarvanIV,Mel,Corki,Rell,15.3,Win,GW,Rumble,Zyra,Yone,Samira,Nautilus,Blue,,,,,,,,,,,
14/02/2025,Camille,Sejuani,Jayce,Ziggs,Rell,15.3,Lose,GW,Nidalee,LeeSin,Ahri,Kalista,Renata,Red,,,,,,,,,,,
17/02/2025,Gnar,JarvanIV,Mel,Kaisa,Nautilus,15.3,Win,RBT,KSante,Zyra,Tristana,Ezreal,Leona,Blue,,,,,,,,,,,
17/02/2025,Ambessa,Amumu,Corki,Jhin,Rell,15.3,Win,RBT,Renekton,Vi,Viktor,Caitlyn,Neeko,Red,,,,,,,,,,,
17/02/2025,Jayce,Maokai,Taliyah,Zeri,Poppy,15.3,Lose,RBT,Rumble,MonkeyKing,Azir,MissFortune,Bard,Blue,,,,,,,,,,,
17/02/2025,Ambessa,Sejuani,Ahri,Corki,Leona,15.3,Win,RBT,KSante,Vi,Taliyah,Varus,Rell,Red,,,,,,,,,,,
17/02/2025,Jayce,Pantheon,Orianna,Kaisa,Alistar,15.3,Lose,RBT,Ornn,MonkeyKing,Azir,Caitlyn,Nautilus,Blue,,,,,,,,,,,
18/02/2025,Ambessa,JarvanIV,Viktor,Kalista,Renata,15.3,Win,EWIE,Skarner,Kindred,Mel,Tristana,Poppy,Blue,,,,,,,,,,,
18/02/2025,KSante,Zyra,Yone,Smolder,Braum,15.3,Lose,EWIE,Garen,Nocturne,Aurora,Corki,Leona,Red,,,,,,,,,,,
18/02/2025,Jayce,Ivern,Azir,Ezreal,Alistar,15.3,Lose,EWIE,Chogath,XinZhao,Sylas,Varus,Rell,Blue,,,,,,,,,,,
18/02/2025,Ambessa,Vi,Aurora,Varus,Leona,15.3,Win,EWIE,Sett,Viego,Cassiopeia,Caitlyn,Nautilus,Red,,,,,,,,,,,
18/02/2025,Camille,Sejuani,Sylas,Corki,Bard,15.3,Win,EWIE,Ornn,Gwen,Lucian,Sivir,Amumu,Blue,,,,,,,,,,,
19/02/2025,Jax,Skarner,Azir,MissFortune,Alistar,15.3,Win,FSK,Gnar,Ivern,Hwei,Corki,Nautilus,Blue,,,,,,,,,,,
19/02/2025,Ambessa,Viego,Ahri,Ezreal,Braum,15.3,Win,FSK,Camille,Pantheon,Taliyah,Varus,Leona,Red,,,,,,,,,,,
19/02/2025,KSante,XinZhao,Mel,Zeri,Lulu,15.3,Lose,FSK,Garen,MonkeyKing,Galio,Jinx,Thresh,Blue,,,,,,,,,,,
19/02/2025,Ornn,Taliyah,Corki,Varus,Poppy,15.3,Win,FSK,Anivia,Pantheon,Galio,Kalista,Neeko,,,,,,,,,,,,
19/02/2025,Ambessa,Maokai,Corki,Kaisa,Rakan,15.3,Win,FSK,Camille,LeeSin,Azir,Ezreal,Leona,Blue,,,,,,,,,,,
20/02/2025,Gwen,Maokai,Yone,Varus,Leona,15.3,Lose,EWIE,Chogath,Nocturne,Sylas,Corki,Alistar,Red,,,,,,,,,,,
20/02/2025,Jayce,MonkeyKing,Mel,Ashe,Nautilus,15.3,Win,EWIE,Ornn,XinZhao,Aurora,Kalista,Poppy,Blue,,,,,,,,,,,
20/02/2025,Ambessa,Pantheon,Galio,Kaisa,Rakan,15.3,Lose,EWIE,Gragas,Kindred,Yasuo,Taliyah,Rell,Red,,,,,,,,,,,
20/02/2025,KSante,Viego,Ahri,Jinx,Thresh,15.3,Win,EWIE,Garen,JarvanIV,Viktor,Swain,Camille,Blue,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
24/02/2025,Jayce,Maokai,Akali,Ashe,Rell,15.4,Win,BW,Ambessa,Sejuani,Yone,Kalista,Nautilus,,,,,,,,,,,,
24/02/2025,Camille,Pantheon,Galio,Jhin,Shen,15.4,Win,BW,KSante,XinZhao,Mel,Ezreal,Leona,,,,,,,,,,,,
24/02/2025,Renekton,Nidalee,Azir,Varus,Poppy,15.4,Win,BW,Ornn,MonkeyKing,Aurora,Kaisa,Rakan,,,,,,,,,,,,
24/02/2025,Chogath,JarvanIV,Orianna,Caitlyn,Elise,15.4,Win,BW,Sion,Nocturne,Syndra,Zeri,Yuumi,,,,,,,,,,,,
24/02/2025,,,,,,15.4,Enemy cancel,BW,,,,,,,,,,,,,,,,,
25/02/2025,Jayce,Skarner,Viktor,Corki,Leona,15.3,Win,SGE,KSante,Maokai,Mel,Varus,Rell,,,,,,,,,,,,
25/02/2025,Galio,Pantheon,Aurora,Kaisa,Nautilus,15.3,Lose,SGE,Rumble,Vi,Ahri,Sivir,Lulu,,,,,,,,,,,,
25/02/2025,Camille,Sejuani,Taliyah,Ezreal,Elise,15.3,Win,SGE,Ambessa,XinZhao,Azir,Jhin,Bard,,,,,,,,,,,,
25/02/2025,Gragas,JarvanIV,Orianna,MissFortune,Poppy,15.3,Win,SGE,Jax,Nocturne,Leblanc,Tristana,Alistar,,,,,,,,,,,,
25/02/2025,Sion,Nidalee,Yone,Caitlyn,Neeko,15.3,Lose,SGE,Gnar,Nunu,Sylas,Jinx,Thresh,,,,,,,,,,,,
27/02/2025,Poppy,Amumu,Corki,Varus,Leona,15.4,Lose,BKR,Ambessa,Sejuani,Viktor,Ezreal,Alistar,,,,,,,,,,,,
27/02/2025,Irelia,Vi,Taliyah,MissFortune,Nautilus,15.4,Win,BKR,Gnar,Maokai,Syndra,Kaisa,Rell,,,,,,,,,,,,
27/02/2025,Rumble,Maokai,Yone,Corki,Leona,15.4,Win,BKR,Jayce,Sejuani,Sylas,Ezreal,Alistar,,,,,,,,,,,,
27/02/2025,Camille,Pantheon,Galio,Ashe,Braum,15.4,Lose,BKR,Ambessa,Vi,Ahri,Ziggs,Nautilus,,,,,,,,,,,,
27/02/2025,Sion,Nidalee,Hwei,Caitlyn,Elise,15.4,Lose,BKR,KSante,Zyra,Zeri,Jinx,Neeko,,,,,,,,,,,,
28/02/2025,Ornn,MonkeyKing,Akali,Varus,Rell,15.4,Lose,ANB,Rumble,Sejuani,Yone,Ezreal,Alistar,,,,,,,,,,,,
28/02/2025,Camille,Pantheon,Taliyah,Sivir,Leona,15.4,Win,ANB,Ambessa,Volibear,Azir,Twitch,Nautilus,,,,,,,,,,,,
28/02/2025,Aurora,Maokai,Tristana,MissFortune,Blitzcrank,15.4,Win,ANB,XinZhao,Nocturne,Orianna,Kaisa,Rakan,,,,,,,,,,,,
28/02/2025,Jayce,JarvanIV,Galio,KogMaw,Poppy,15.4,Win,ANB,KSante,Viego,Ahri,Ashe,Elise,,,,,,,,,,,,
28/02/2025,Renekton,Vi,Ryze,Jhin,Shen,15.4,Win,ANB,Illaoi,Nunu,Sylas,Xayah,Pyke,,,,,,,,,,,,
29/02/2025,Sion,Skarner,Azir,Sivir,Lulu,15.4,Lose,KCBS,Aatrox,Lillia,Aurora,Ezreal,Pyke,,,,,,,,,,,,
29/02/2025,Camille,Pantheon,Taliyah,Kaisa,Blitzcrank,15.4,Win,KCBS,Ambessa,Sejuani,Orianna,Ashe,Thresh,,,,,,,,,,,,
29/02/2025,Chogath,Zyra,Tristana,Varus,Leona,15.4,Win,KCBS,Gnar,Maokai,Mel,Jhin,Alistar,,,,,,,,,,,,
29/02/2025,Jax,Viego,Ahri,KogMaw,Braum,15.4,Win,KCBS,KSante,XinZhao,Sylas,Jinx,Nautilus,,,,,,,,,,,,
29/02/2025,Jayce,Nidalee,Syndra,MissFortune,Poppy,15.4,Lose,KCBS,Gragas,JarvanIV,Hwei,Caitlyn,Rakan,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Win,,,,,,,,,,,,,,,,,,