,,,,,,,,,,,,,,,,,,,,,,,,,
,TEAM,Discord contact,TOP,JNGL,MID,ADC,SUPP,,M,Tu,W,Th,F,Sa,Su,,Booked,LMC,LGC,OBSERVATIONS,,,,,PRIORITY
,SUPERLIGA,,,,,,,,,,,,,,,,,,,,,,,,
,MOVISTAR KOI FENIX,raqo,SPOODER,ECKAS,FRESSKOWY,UNF0RGIVEN,TREATZ,,,WU,WU,WU,,,,,2,,1,Very good quality of scrim,,,,,HIGH
,BARCA ESPORTS,jandrofvp,WHITEKNIGHT,THAYGER,CZEKOLAD,LEGOLAS,WHITEINN,,,WU,WU,WU,,,,,2,,,Very good quality of scrim,,,,,HIGH
,UCAM TOKIERS,crusher_lol,SINMIVAK,KOLDO,ESCIK,ANDARIEL,ILEVI,,,WU,WU,WU,,,,,2,,,"Was very interesting even if we 5/0, good quality of games",,,,,GOOD
,GIANTX PRIDE,Fearlesss08,BADLULU,FERRET,FEISTY,AETINOTH,LOSPA,,,WU,WU,WU,,,,,,,,,,,,,
,LUA GAMING,ritsu8219 // deadshadoww,MARKY,SN1LLE,HYDRA,SHY CARRY,CLICK,,,WU,WU,WU,,,,,2,,,Very good quality of scrim,,,,,HIGH
,LOS HERETICS,independentz,TRACYN,DAGLAS,SAJATOR,RIN,KAISER,,,WU,WU,WU,,,,,,,,,,,,,
,VENI VIDI VICI,ramos0560,CPM,TIME,MINIDUKE,RAYITO,THOMASFATE,,,WU,WU,WU,,,,,,,,,,,,,
,RAMBOOT CLUB,babeta,IBO,BLUERZOR,TWOHOYRZ,COLDRAA,PYRKA,,,WU,WU,WU,,,,,3,1,1,"Sometimes a bit volatile in early game (Bluerzor), a lot of ff",,,,,OK
,PRIME LEAGUE,,,,,,,,,,,,,,,,,,,,,,,,
,UOL SEXY EDITION,invi_lol,FORNOREASON,WHITE,SIMPLY,DENVOKSNE,SEAZ,,,WU,WU,,,,,,1,,,Very good quality of scrim,,,,,HIGH
,BIG,pandar_,SHELFMADE,LEBRON,DAJOR,BEAN,LIMIT,,,WU,WU,,,,,,1,,,Very good quality of scrim,,,,,HIGH
,AUSTRIAN FORCE,vil8235,SLAYER,D4NKA,NANO,VAYNEDETA,HUNGRYPANDA,,,WU,WU,,,,,,2,1,,Good quality of scrim,,,,,GOOD
,EINTRACHT FRANKFURT,x4nty,SACRE,TECHOTECO,ZAZEE,VARRY,VEIGNOREM,,,WU,WU,,,,,,3,,,Low lvl quality,,,,,LOW
,E WIE EINFACH,lekxngshow,ROCKLHO,AFROBOI,RELATIVE,NOZ2K,TOCKIMO,,,WU,WU,,,,,,3,,,"To long breaks, was kinda low, Afroboi horror to play vs ",,,,,LOW
,TEAMORANGEGAMING,jogono,SMURFE,CBOI,SIX10,VZZ ,INFONERAL,,,WU,WU,,,,,,1,,,Good quality of scrim,,,,,GOOD
,ROSSMAN CENTAURS,kiuske,NICEGUYBEN,XAGOG,ROYALKANIN,SYZYFEK,WILDENBRUCH,,,WU,WU,,,,,,1,,,Low lvl quality,,,,,LOW
,KAUFLAND HANGRY KNIGHTS,siefertgr,VENOUR,RABBLE,RANDOM,FUN KEY,VISDOM,,,WU,WU,,,,,,1,,,"Very good quality of scrim, sometimes very long during reviews",,,,,HIGH
,LFL,,,,,,,,,,,,,,,,,,,,,,,,
,JOBLIFE,ashanome,LENY,RAMES,DIPLEX,DEADLY,TWIIZT,,,,WU,WU,WU,,,,1,,,"Good quality of scrim, a lot of draft remake",,,,,GOOD
,GAMEWARD ,fara_coach // arthurmail,ZEST,STORMAX,BACKLUND,MATIAS,HONOR,,,,WU,WU,WU,,,,1,,,Very good quality of scrim,,,,,TOP PRIO
,BDS ACADEMY ,edwardlol,PAPITEERO,SHLATAN,TOFFE,MISHIGU,MYRTUS,,,,WU,WU,WU,,,,,,,,,,,,
,GENTLEMATES,lounet,EMPYROS,ZICSSI,EIKA,COMP,ERDOTE,,,,WU,WU,WU,,,,1,,,Very good quality of scrim,,,,,TOP PRIO
,KARMINE CORP BLUE,therock7,MAYNTER,?,SLOWQ,EXAKICK,PIERO,,,,WU,WU,WU,,,,,,,,,,,,
,VITALITY BEE,arvindir.,VERTIGO,LUROX,VETHEO,JOPA,FLESHY,,,,WU,WU,WU,,,,,,,,,,,,
,ICI JAPON CORP,enatron,HOWLING,THEOCACS,SERTUSS,HANS SAMD,PRIME,,,,WU,WU,WU,,,,,,,,,,,,
,SOLARY,caelan0324,KRYZE,MARKOON,DECAY,TAKESET,MERSA,,,,WU,WU,WU,,,,1,,,Best quality of scrim,,,,,TOP PRIO
,BK ROG,.squalito,SZYGENDA,RHILECH,OMON,BOOSHI,DOSS,,,,WU,WU,WU,,,,1,,,Very good quality of scrim,,,,,TOP PRIO
,GALION,ayden1217,RAGNER,XERXE,SERIN,JEZU,ZOELYS,,,,WU,WU,WU,,,,1,,,Best quality of scrim,,,,,TOP PRIO
,ERL 1 MINOR + TCL,,,,,,,,,,,,,,,,,,,,,,,,
,ENTROPIQ // HM,kraker,ROBOCOP,SHIFT,MANY,STRODE,DENYK,,,,,,,,,,1,,,Low lvl quality,,,,,LOW
,MACKO // LIT,korax_mck,COLOR,MAFRO,FURUY,FLICKER,SHREDDER,,,,,,,,,,2,,1,Low lvl quality,,,,,LOW
,PATIZAN ESPORTS // EBL,"panjlol",EYLIPH,NICOLAIY,VIGIL,MIHAI,TASTELESS,,,,,,,,,,1,,1,Low lvl quality,,,,,LOW
,ZERO TENACITY // UL,nahv9120,KOZI,ZUBAC,VASCO,WOOLITE,JACTROLL,,,,,,,,,,1,,,Low lvl quality,,,,,LOW
,TEAM PHANTASMA // GLL,gvr8,KIO,MANATY,PEPPE,AXELENT,REAVER,,,,WU,WU,,,,,1,,,Low lvl quality,,,,,LOW
,GEEKAY ESPORTS // AL,doctor1494,BODA,ELRAMIR,GIYUU,TRIGGER,DEKAP,,,,,,,,,,,,,,,,,,
,P.SUPERMASSIVE // TCL,basei.,ARMUT,SKEANZ,FIESTA,BAO,CARRY,,,,WU,WU,WU,,,,,,,,,,,,
,BOOSTGATE // TCL,,NUQ,TYPHOON,JOOL,TOONGE,PATCH,,,,WU,WU,WU,,,,,,,,,,,,
,MISA ESPORTS // TCL,japone_ // mohayto,MIHILE,ZANZARAH,CALLME,KAORI,BATUUU,,,,WU,WU,WU,,,,,,,,,,,,
,BBL DARK PASSAGE // TCL,viser1on,BONG,XNS,KOFTE,SLAYDER,MXE,,,,WU,WU,WU,,,,,,,,,,,,
,BUSHIDO WILCATS // TCL,astr0less,DESTROY,CITRUS,MERCY,SCORTH,MONKAS,,,,WU,WU,WU,,,,3,,1,Very good quality of scrim,,,,,HIGH
,ULF ESPORTS // TCL,spalelol,IIIIMA,STEFAN,OPHELIA,GRAVE,JOEXY,,,,WU,WU,WU,,,,1,,,Low lvl quality,,,,,LOW
,BEşIKTAş ESPORT // TCL,"hirumay",PHOTON,CHEF,TOLAND,NEON,PAIXDIA,,,,WU,WU,WU,,,,,,,,,,,,
,ETERNAL FIRE // TCL,.pades,DNDN,OSMAN123,IVORY,RUEP,FARFETCH,,,,WU,WU,WU,,,,,,,,,,,,
,LOS RATONES // NLC,molequl,THEBAUSFFS,VELJA,NEMESIS,CROWNIE,REKKLES,,,,WU,WU,,,,,1,,,Best quality of scrim,,,,,TOP PRIO
,,,,,,,,,,,WU,WU,,,,,1,,,Good quality of scrim,,,,,GOOD
,,,,,,,,,,,WU,WU,,,,,,,,,,,,,